# Emoji suggestion keywords, generated by tools/generate_emoji_keywords.py
# from Unicode CLDR emoji annotations (English).
# Data (c) Unicode, Inc. - https://www.unicode.org/copyright.html
# License: https://www.unicode.org/license.txt
# Format: keyword<TAB>emoji,emoji,... (best suggestion first).
# Hand-tuned aliases (e.g. 'taking off', 'lol') are merged into the
# table by the generator's ALIASES dict — edit there and regenerate.
ab	🆎
letters	🔠,🔡,🔤
lettuce	🥬
level	🎚
levitating	🕴
lgbt	🌈,🏳‍🌈
lgbtq	🌈,🏳‍🌈
lgbtqia	🌈,🏳‍🌈
liar	🤥
liberty	🗽
library	📖,📚,📗,📘,📙
license	🪪
lick	👅
lie	🤥
life	🪼,🛟,🧬
lifesaver	🛟
lift	🫴,🚠,🛗
lifter	🏋️,🏋‍♂,🏋‍♀
lifting	🏋️,🏋‍♂,🏋‍♀
light	🚨,🚥,🚦,🚈,💡,🔦,🕯️,🏻,🩵,🪶,🧨,🏮,🪔,🔆,🏳‍⚧
lightning	🌩
like	👍,🩷,🩵
lilac	🪻
limb	🦵
lime	🍋‍🟩
line	🫥
link	🖇,🔗
linked	🖇
links	🔗
lion	🦁,🦭
lip	🫦
lips	💋,👄
lipstick	👄,🫦,💄
liquid	🫠,🫗,🫟
liquor	🥃
list	📋
listen	🙉,👂
listening	👂
lit	🔥
litaf	🔥
litter	🚮,🚯
litterbin	🚮
littering	🚯
little	🤏
lizard	🦎
llama	🦙
lmao	🤣,😂,💀
loaf	🍞
lob	🤾,🤾‍♂,🤾‍♀
lobster	🦞
location	📍
lock	🔒,🔑,🔓,🔏,🔐,🗝
locked	🔒,🔏,🔐
locker	🛅
locomotive	🚂
log	🪵
lol	😂,🤣,😄,😆,🫠,😹
lollipop	🍭
london	💂,💂‍♂,💂‍♀
lonely	💔
long	🪘
look	👀
looking	👀
loopy	😜
loose	🤙
loot	🪎
lorry	🚛
losing	😔,😞
lost	😔
lotion	🧴
lotus	🧘,🧘‍♂,🧘‍♀,🪷
loud	🔊,📢
loudly	😭
loudspeaker	📢
love	🥰,😍,😘,🤟,🌹,💐,😗,😙,😻,💌,💘,💓,💕,❤‍🔥,🩷,💛,💚,💙,🩵,💜,🩶,🫰,🫶,💏,💑,🫂,🏩,🪉
lover	😘
loving	💕
low	🔈,🪫,🔅
lowercase	🔡
lowered	📪,📭
luck	🤞,🫡,🧧
lucky	🍀
luge	🛷
luggage	🧳,🛅
lumber	🪵,🪚
lunch	🍴
lung	🫁
lungs	🫁
lupine	🪻
lure	🪤
lust	❤‍🔥
luxurious	🧖,🧖‍♂,🧖‍♀
luxury	🚤
lying	🤥
machine	🎰,📠
mad	😖,😩,😤,😡,😠,🤬,💢,🗯,🧂,🍸
maddening	😡,😠
mage	🧙,🧙‍♂,🧙‍♀
maggot	🪰
magic	🧙,🧙‍♂,🧙‍♀,🧝,🧝‍♂,🧝‍♀,🔮,🪄,🎩
magical	🧝,🧝‍♂,🧝‍♀
magician	🪄
magnet	🧲
magnetic	🧲,🧭
magnifying	🔍,🔎
mahjong	🀄
mai	🍹
mail	💌,📧,📨,📩,📤,📥,📫,📪,📬,📭,📮
mailbox	📫,📪,📬,📭,📮
maize	🌽
major	🔑
makeup	💅,💄,🪞
malaria	🦟
male	🐏
malt	🥤
mammal	🫎,🫏
mammoth	🦣
man	👨,👴,👷,🚶,🕺,🧔‍♂,👱‍♂,🙍‍♂,🙎‍♂,🙅‍♂,🙆‍♂,💁‍♂,🙋‍♂,🧏‍♂,🙇‍♂,🤦‍♂,🤷‍♂,👨‍⚕,👨‍🎓,👨‍🏫,👨‍⚖,👨‍🌾,👨‍🍳,👨‍🔧,👨‍🏭,👨‍💼,👨‍🔬,👨‍💻,👨‍🎤,👨‍🎨,👨‍✈,👨‍🚀,👨‍🚒,👮‍♂,🕵‍♂,💂‍♂,👷‍♂,👷‍♀,👳‍♂,🤵‍♂,👰‍♂,🫃,👨‍🍼,🦸‍♂,🦹‍♂,🧙‍♂,🧚‍♂,🧛‍♂,🧝‍♂,🧞‍♂,🧟‍♂,💆‍♂,💇‍♂,🚶‍♂,🚶‍♀,🧍‍♂,🧎‍♂,👨‍🦯,👨‍🦼,👨‍🦽,🏃‍♂,🧖‍♂,🧗‍♂,🏌‍♂,🏄‍♂,🚣‍♂,🏊‍♂,🏊‍♀,🏋‍♂,🚴‍♂,🚵‍♂,🤸‍♂,🤽‍♂,🤾‍♂,🤹‍♂,🧘‍♂,👫,⛄,👞,🚹
manage	🤹,🤹‍♂,🤹‍♀
manager	🧑‍💼,👨‍💼,👩‍💼
mane	🦁
mango	🥭
manicure	💅
mantelpiece	🕰
mantilla	🧕
manual	🧑‍🦽,👨‍🦽,👩‍🦽,🦽
mao	👲
map	🗺️,📍,🗾
maple	🍁
maracas	🪇
marathon	🏃,🏃‍♂,🏃‍♀
marching	🪈
margarita	🍋‍🟩
marine	🫍,🪼
mark	💋,📑,🔖,🔛,🆙
marker	📑
market	💹
married	💍
marsupial	🐨,🦘
martial	🥋
martini	🍸
mary	🪬
masjid	🕌
mask	😷,🎭,👹,👺,🤿
massage	💆,💆‍♂,💆‍♀
mate	🧉
math	📏,📐,🟰
mathematician	🧑‍🔬,👨‍🔬,👩‍🔬
matryoshka	🪆
maybe	🤷,🤷‍♂,🤷‍♀
mayo	🪅
maze	🌽
me	🤙,🫴,🙋,🙋‍♂,🙋‍♀
mean	👺
meat	🥓,🍖,🥩,🥧
meatball	🧆
meatballs	🍝
mechanic	🧰,🧑‍🔧,👨‍🔧,👩‍🔧
mechanical	🦾,🦿
medal	🥇,🥈,🥉,🏅,🎖️
media	📝
medical	😷,🩻
medicated	💊
medicine	😷,🏥,💉,🩸,💊,🩺
medieval	👑
meditate	🙇,🙇‍♂,🙇‍♀
meditation	🧘,🙇,🙇‍♂,🙇‍♀,🧘‍♂,🧘‍♀
medium	⭐,🏽,🔉
meeting	🤝
megaphone	📣
meh	😐,😑,😕,🫥,🫤
melon	🍈
melt	🫠
melted	🫕
melting	🫠
memo	📝
memorial	🪦
men	👯‍♂,🤼‍♂,👬,🍸
mending	❤‍🩹
menorah	🕎
menstruation	🩸
meow	🐈‍⬛
mercy	🥺
meridians	🌐
mermaid	🧜‍♀
merman	🧜‍♂
merperson	🧜
merry	🎅,🤶,🧑‍🎄
merry christmas	🎄,🎅,🎁
merwoman	🧜‍♀
mess	🫟
message	💬
metal	🪙
metro	🚇
mexican	🌮,🌯,🫔
mic	🎤,🎙
mic drop	🎤
microbe	🦠
microphone	🎤,🎙
microscope	🔬
middle	🖕
mild	🤨
military	🎖️,🪖
milk	🐮,🐐,🐄,🍼,🥛,🧋
milky	🌌
million	💰,💸,💲
millionaire	🚤
mind	🤯
mind blown	🤯
mindblown	🤯
minibus	🚐
minidisk	💽
miriam	🪬
mirror	🪩,🪞
mischievous	👿
miss	😘,😢
moai	🗿
mobile	📱,📲,📵,📶,📳,📴
mobility	🩼
mode	📳
moisturizer	🧴
mojito	🍋‍🟩
mollusk	🦑
mom	🤱,👩‍🍼
monarch	🫅
money	💰,🤑,💸,💎,🫰,🧧,🪙,🪎,💴,💵,💶,💷,💳,💹,🏧,💱,💲
moneybag	💰
monitor	🖥️
monkey	🐵,🙈,🙉,🙊,🐒,🦧
monocle	🧐
monorail	🚈,🚝
monster	💀,💩,👻,👹,👺,👽,👾,🤖,🧌
monthly	🈷
moo	🐮,🐄
moon	🌙,🥮,🌑,🌒,🌓,🌔,🌕,🌖,🌗,🌘,🌚,🌛,🌜,🌝,🎑
moose	🫎
morning	☕,💖,🌄,🌅
mortar	🧱
mosque	🕌
mosquito	🦟
mother	🤱,🤶,👩‍🍼
motor	🛵,🛥️
motorboat	🛥️
motorcycle	🏍️
motorized	🧑‍🦼,👨‍🦼,👩‍🦼,🦼
motorway	🛣️
mount	🗻
mountain	🧗,🚵,🏔️,🌋,🧗‍♂,🧗‍♀,🚵‍♂,🚵‍♀,🛘,🗻,🚞,🚠
mountains	🌄
mouse	🐭,🖱️,🐁,🪤
mousetrap	🪤
moustache	🥸
mouth	😃,😄,😆,😅,🤑,🤭,😶,😮,😦,😰,🤬,🫢,🤐,🥴,🫤,😺,👄
mouthless	😶
move	🏃,🚛,🏃‍♂,🏃‍♀
movie	🎬,🍿,🎥,🎞,📽,🎦
moyai	🗿
mrs	🤶
muah	😘,💗
mudslide	🛘
mug	🍺
mugs	🍻
mule	🫏
multitask	🤹,🤹‍♂,🤹‍♀
munch	😱
muscle	💪
museum	🎨,🖼
mushroom	🍄,🍄‍🟫
music	🎤,🎼,🎹,🥁,🎷,🎺,🎸,🪕,🎻,🔊,🎵,🎶,🎙,🎚,🎛,🪊,🪗,🪇,🪈,🪉
musical	🎼,🎹,🎵,🎶
muslim	🕌,🕋
mustache	🥸
mute	😶,🔇,🔕
muted	🔇
mwah	💏
mx	🧑‍🎄
mysterious	👤
mystery	🫆
myth	🧚,🧚‍♂,🧚‍♀,🧝,🧝‍♂,🧝‍♀,🧞,🧞‍♂,🧞‍♀
mythology	🪽
naan	🫓
nail	💅
name	📛
nanny	👩‍🍼,👨‍🍼,🧑‍🍼
nap	😴,😫,🥱,🛌
nasty	🤢
national	🏞
natural	🫚
nature	🐝,🐌,🐞,🌵,🌋,🍄‍🟫,🗻,🌅,🌈,💧,🌊
nauseated	🤢
navigation	🧭
nazar	🧿
neck	🧣
necklace	📿
necktie	👔
nectarine	🍊
needle	🧵,🪡,💉
negative	🧲,📉
neptune	🧜‍♂
nerd	🤓
nerves	😟
nervous	😅,😟,😰,😓,💗,🫦
nest	🪹,🪺
nesting	🪹,🪺,🪆
net	🥅,⛹️
network	🛜
neutral	😐
new	🗽,🌑,🌚,🆕
newborn	👶,👩‍🍼,👨‍🍼,🧑‍🍼,🐥,🍼
news	📰,🗞
newspaper	📰,🗞
ng	🆖
nib	🔏
nice	😀,😁,👏,😛
night	😪,😴,😙,🥱,💖,💤,🛌,🌃,🌉,🌟,🌠
nine	🕘,🕤
ninja	🥷
no	🤯,😲,👎,🙂‍↔,🙈,🙉,🙊,🙅,🙅‍♂,🙅‍♀,🤦,🤦‍♂,🤦‍♀,🦲,🔕,🚫,🚳,🚭,🚯,🚷,📵,🔞,🈵
noble	🫅
nod	🙂‍↕
noodle	🍜
nooo	😩
nope	👎
nose	😤,🥸,👃,🐽,🚅
noses	👃
nosey	👃
not	😑,😕,🥺,😥,🙉,🙊,🙅,🙅‍♂,🙅‍♀,🤦,🤦‍♂,🤦‍♀,🔕,🚫,🚳,🚭,🚯,🚷,📵,🔞,🈶
note	🎼,🎵,🎶,💴,💵,💶,💷,💸,🗒
notebook	📔,📓,📒
notepad	🗒
notes	📝,🎶,📋
nothing	🫙
notice	🪧
novels	📖,📚
numbers	🔢
nuptials	💒
nurse	🧑‍⚕,👨‍⚕,👩‍⚕
nursing	🤱,👩‍🍼,👨‍🍼,🧑‍🍼
nurturing	🪴
nut	🥜,🔩
nutty	😜
ny	🗽
nyc	🗽
oar	🚣,🚣‍♂,🚣‍♀
oatmeal	🥣
oberon	🧚‍♂
ocean	🧜,🐙,🐬,🐳,🐋,🏄,🧜‍♂,🧜‍♀,🏄‍♂,🏄‍♀,🫍,🦭,🪸,🪼,🌊
octagonal	🛑
octoberfest	🍺
octopus	🐙
oden	🍢
odor	👃
of	😂,💩,🤚,🤘,🌽,🍲,🗽,😹,🌾,🥩,🥘,🥛,🗾,🩸,🧻,🛐,🈶,🈚
off	📴
offer	🫴
office	💻,🧑‍💼,👨‍💼,👩‍💼,🏢,🏣,🏤,💼
officer	👮,👮‍♂,👮‍♀
ogre	👹
oh	😐,😑,🙀,🤦,🤦‍♂,🤦‍♀
oil	🛢,🪔
ok	👌,👍,🫡,🙆,🙆‍♂,🙆‍♀,🆗
okay	👌,👍,🆗
oktoberfest	🍺
old	👵,🧓,👴,🦳,📼,📇,🗝
older	🧓
olive	🫒
om	🕉
omg	😱,🤯,😝,😑,😮,😯,😲,👀,🫢,🫨,😵‍💫,🙈,🙆,🙆‍♂,🙆‍♀,🤦,🤦‍♂,🤦‍♀
omw	👣,🔜
on	🤣,🤬,❤‍🔥,🍖
on fire	🔥
once	🔂
oncoming	👊,🚍,🚔,🚖,🚘
one	👁️,🐪,🕐,🕜,🔞
onion	🧅
oolong	🍵
oops	🤭,🙊,🫗
open	😃,😄,😆,😅,🤗,😮,😦,😰,👐,📖,🫢,😺,📬,📭,📂,🔓,🈺
opening	🪟
ophiuchus	🐍
optical	💽,💿,📀
orange	🍊,🧡,📙,🟠,🟧,🔶,🔸
orangutan	🦧
orca	🫍
orchestra	🪈,🪉
order	🦁
organ	🫀,🫁
orienteering	🧭
ornithology	🐔,🐧,🐦,🦆,🦅,🦉,🐓,🐤,🐥,🕊,🦢,🦤,🦩,🦚,🦜,🐦‍⬛,🪿
orthoptera	🦗
ostentatious	🦚
otter	🦦
ouch	🤕,🪼
out	😵
outbox	📤
outdoors	🌻,🥾
outgoing	📩
outlined	🔳
outtie	👋
over	🤭,👮,🍳,🫢,👮‍♂,👮‍♀,🌄
overeat	🫃,🫄
owl	🦉
ox	🐂
oyster	🦪,🥡
pace	🚶,🚶‍♂,🚶‍♀
package	📦
packing	🧳,🛃,🛄
pad	🗒,🗓
paddle	🏓,🚣,🚣‍♂,🚣‍♀
paella	🥘
page	📃,📄
pager	📟
paid	🤑,💰
pail	🥡,🪣
pain	🥲
paint	🫟
paintbrush	🖌
painter	🎨
painting	🎨,🖼,🖌
pair	👯,👯‍♂,👯‍♀
palace	💂,💂‍♂,💂‍♀
palette	🎨,🧑‍🎨,👨‍🎨,👩‍🎨
palm	🌴,🥥,🫳,🫴,🪬
palms	🤲
pamonha	🫔
pamper	🧖,🧖‍♂,🧖‍♀
pan	🍳,🥘
pancake	🥞
pancakes	🥞
panda	🐼
panic	🫨,🫪
panting	🥵
pants	👖,🩳
paper	🏮,📃,📜,📄,📰,🗞,🗄,🧻
paperclip	📎,🖇
paperclips	🖇
parachute	🪂
parasail	🪂
parasite	🪱
parcel	📦
parent	🧑‍🍼
park	🎡,🎢,🏞,🛝
parking	🅿
parlor	💇,💇‍♂,💇‍♀
parrot	🦜
party	😜,🥳,👯,🎉,😛,👯‍♂,👯‍♀,🍹,🎊,🪅,🪩,👒,🪇
partying	🥳,👯,👯‍♂,👯‍♀
passenger	🚢,🛳
passing	🈴
passport	🛂
password	🔑
pasta	🍝
pastry	🎂,🍰,🍥,🥧
patience	🤌
patrol	🚓
pause	🫷,🫸
paw	🐾
pawn	♟️
paws	🐾
pay	💸,💳,💲
paying	💰
pc	💻
pea	🫛
peace	😌,✌️,🧘,🧘‍♂,🧘‍♀,🕊,🪷
peace out	✌️
peaceful	😇
peach	🍑
peacock	🦚
peahen	🦚
peanut	🥜
peanuts	🥜
pear	🍐
pearl	🦪,🧋,🫧
pearly	🦷
pedestrian	🚶,🚶‍♂,🚶‍♀,🚸,🚷
pedestrians	🚷
peek	🫣
peeking	🫣
peep	👀,🫣
pen	🖊️,🖋,🔏
penalty	🟥,🟨
pencil	📝,✏️
penguin	🐧
pensive	😔
people	👯,🤼,👯‍♂,👯‍♀,🧑‍🤝‍🧑,👥,🫂
pepper	🌶️,🫑
pepperoni	🍕
percussion	🪇
perfect	💯
performing	🎭
persevere	😣
persevering	😣
person	🧑,🧓,👷,👳,👲,🤵,👰,🧚,🏃,🚶,🧍,🏋️,🤸,⛹️,🤺,🤾,🏌️,🧘,🏄,🏊,🤽,🚣,🧗,🚵,🚴,🤹,🥸,👱,🧔,🙍,🙎,🙅,🙆,💁,🙋,🧏,🙇,🤦,🤷,🥷,🫅,🫄,🧑‍🍼,🧚‍♂,🧚‍♀,💆,💇,💇‍♂,💇‍♀,🧎,🧑‍🦯,🧑‍🦼,🧑‍🦽,🕴,🧖,🏄‍♀,🛀,🛌,💏,💑
personal	💻
pest	🪳,🦟,🪰
pester	🦡
pet	🐶,🐱,🐹,🐰,🐕,🐈,🐇
petri	🧫
pga	🏌️,🏌‍♂,🏌‍♀
pho	🍜
phoenix	🐦‍🔥
phone	📱,🤳,📲,📞,📵,📶,📳,📴
phones	📵
photo	📷
physicist	🧑‍🔬,👨‍🔬,👩‍🔬
pi	👲
piano	🎹
piccolo	🪈
pick	🫳,🙋,🙋‍♂,🙋‍♀,🪮
picket	🪧
pickle	🥒
pickup	🛻
picnic	🧺
picture	🖼
pie	🥧
piece	🧩
pierogi	🥟
pig	🐷,🐗,🐖,🐽
pile	💩
pill	💊
pills	💊
pilot	🧑‍✈,👨‍✈,👩‍✈
pin	📌,📍,🧷
pina	🍍
pinada	🪅
pinata	🪅
pinch	👌
pinched	🤌
pinching	🤏
pine	🌲,🎍
pineapple	🍍
ping	🏓
pingpong	🏓
pink	🩷,🏳‍⚧
pinocchio	🤥
pint	🍺
pipe	🪈
pirate	🦜,🏴‍☠
pisces	🐟
pissed	😒,🤬
pistol	🔫
pita	🫓
pitch	🤾,🤾‍♂,🤾‍♀
pity	🙇,🙇‍♂,🙇‍♀
pixelated	👾
pixie	🧚,🧚‍♂,🧚‍♀
pizza	🍕,🍄‍🟫
placard	🪧
place	🥇,🥈,🥉,🛐
plane	✈️,🛫,🛬,🧑‍✈,👨‍✈,👩‍✈,🛩,🛄
planet	🪐
plankton	🪼
plant	🌵,🌴,🌱,🌿,☘️,🍀,🌺,🌻,🌹,🌷,🌸,💐,🏵,🌼,🪻,🪴,🌾,🌰,🎍,🪏
plaque	🪧
plate	🍽
play	🧙,🧙‍♂,🧙‍♀,🛝
player	⛹️
playful	🦦
playground	🛝
playing	🤾,🤽,🤽‍♂,🤽‍♀,🤾‍♂,🤾‍♀,🛝,🎴
plaything	🧸
pleading	🥺
please	🥺,🙏,🥹
pls	🥺,🙏
plug	🔌
plumage	🪶
plumber	🧑‍🔧,👨‍🔧,👩‍🔧,🪠
plunder	🏴‍☠
plunger	🪠
plush	🧸
pod	🫛
point	👈,👉,👆,👇,☝️,💯,🪝
pointed	🔺,🔻
pointing	👈,👉,👆,👇,☝️,🫵
points	💯
poke	🫵
polar	🐻‍❄
pole	🎣,💈
police	👮,🚓,🚨,👮‍♂,👮‍♀,🚔
polish	💅
polo	🤽,🤽‍♂,🤽‍♀
ponder	🤔
pondering	🤔
pong	🏓
poo	💩
poodle	🐩
pool	🎱,👙
poop	💩,🪠
pop	🍿,🧨
popcorn	🍿
popper	🎉
popping	🍾,🧨
pork	🐷,🐖
porkchop	🥩
porous	🧽
porridge	🥣
portobello	🍄‍🟫
poseidon	🧜‍♂,🔱
position	🧘,🧘‍♂,🧘‍♀
positive	🧲
post	🏣,🏤,📯,🚩
postal	📯
postbox	📫,📪,📬,📭,📮
pot	🍲,💰,🪴,🫕,🍯,🫖
potable	🚰
potassium	🍌
potato	🥔,🍠
potsticker	🥟
potted	🪴
pouch	👝
poultry	🍗
pound	👊,💷
pounds	💷
pour	🫗
pouring	🫗
pouting	😡,😾,🙎,🙎‍♂,🙎‍♀
power	🪫
powerlifting	🏋️,🏋‍♂,🏋‍♀
praise	🙌
prawn	🍤
pray	🙏,🤲,🛐
prayed	👏
prayer	🤲,📿
predator	🐯,🐅,🐆
pregnant	👶,🤰,🫃,🫄
present	🎁
preserver	🛟
press	💪
pretty	🥺,🦋,🦚
pretzel	🥨
pride	🌈,🏳‍🌈
prince	🤴
princess	👸
print	👣,🫆,🐾
printer	🖨️
prints	🐾
privacy	🔏
private	🔒
prize	🏆,🪎
probing	🧑‍🦯,👨‍🦯,👩‍🦯,🦯
professor	🧑‍🏫,👨‍🏫,👩‍🏫
prohibit	🙅,🙅‍♂,🙅‍♀
prohibited	🙈,🙉,🙊,🔕,🚫,🚳,🚭,🚯,🚱,🚷,📵,🔞,🈲
projector	📽
proof	🧾
prophecy	🥠
prosthetic	🦾,🦿
protect	🪬
protection	🥽,🪬
protest	🪧
proud	🥲,🥹,🦚
public	📢
puck	🏒,🧚‍♂
pudding	🍮
puke	🤮
pulled	👮,👮‍♂,👮‍♀
pulsating	💓
pulse	💗,💓,🫀
pump	⛽
pumpkin	🥧,🎃
punch	✊,👊
punk	🧷
puppies	🐶
puppy	🥺,🐶
purity	🪷
purple	😈,👿,💟,💜,🪻,🟣,🟪
purse	👛,👜,👝
push	🫷,🫸
pushing	🫷,🫸
pushpin	📌,📍
putt	🏌️,🏌‍♂,🏌‍♀
puzzle	🧩
quarter	🌓,🌗,🌛,🌜
queen	👸,👑
queer	🌈,🏳‍🌈
quench	🧯
question	🙋,🙋‍♂,🙋‍♀
quick	🏃,🏃‍♂,🏃‍♀
quiet	🤫,😶,🫢,🤐,🙊,🔇,🔕
rabbit	🐰,🐇
raccoon	🦝
race	🏃,🏃‍♂,🏃‍♀,🏁
racehorse	🐎,🏇
racing	🏃,🐎,🏇,🏎️,🏍️,🏃‍♂,🏃‍♀,🏁
racquet	🎾,🏸
rad	😎,👌
radio	📻,🔘
radish	🫜
raft	🚣,🚣‍♂,🚣‍♀
rage	😡,😠
rail	🚈
railway	🚂,🚆,🚈,🚉,🚃,🚄,🚅,🚞,🛤,🚟
rain	🌧️,☔,🌦,🌧,🌈,🌂
rainbow	🌈,🏳‍🌈
raise	🙋,🙋‍♂,🙋‍♀
raised	🤚,✋,✊,🙌,🖐️,🤨,📫,📬
raising	🙌,🙋,🙋‍♂,🙋‍♀
ram	🐏
ramadan	🌙
ramen	🍜
ranch	🏠,🏡
rancher	🧑‍🌾,👨‍🌾,👩‍🌾
range	🏌️,🏌‍♂,🏌‍♀
rat	🐀
rattle	🪇
raven	🐦‍⬛
rawr	🦁
razor	🪒
reach	🫱,🫲
reading	📖,📚,📗,📘,📙
ready	🛄
real	🫀
realization	🤭
realize	💭
rebirth	🐦‍🔥
rebound	🪃
rebuild	👷,👷‍♂,👷‍♀
receipt	🧾
receive	📲,📨,📥
receiver	📞
record	🎥
recorder	🪈
recovering	❤‍🩹
recreational	🚙
recuperating	❤‍🩹
red	😡,🌹,🍎,🍒,🧰,🫀,🦰,🥩,🧧,🀄,🏮,🔼,🔽,🔴,🟥,🔺,🔻
redhead	🦰
reef	🪸
reflection	🪞
reflector	🪞
refresh	🔃,🔄
refreshing	🍋‍🟩
refuse	🫷,🫸
regal	🫅
regret	🙇,🙇‍♂,🙇‍♀
reincarnation	🐦‍🔥
reinvent	🐦‍🔥
relationship	💑
relax	🤌,🧘,💆,💆‍♂,💆‍♀,🧖,🧖‍♂,🧖‍♀,🧘‍♂,🧘‍♀
relaxed	😎
relaxing	💆,💆‍♂,💆‍♀
relief	😌,😮‍💨
relieved	😌,😥,🥲
religion	🕌,🕍,🕋,📿,🛐,🕉,🕎,🪯
reload	🔃
reminder	🎗️
remodel	👷,👷‍♂,👷‍♀
renewal	🐦‍🔥
repair	👷,👷‍♂,👷‍♀
repairs	🔨
repeat	🔁,🔂
repercussion	🪃
reptile	🦎
rescue	🛟
reserved	🈯
resist	🥹
resort	⛵
respect	🫡
respiration	🫁
restaurant	🍞,🍳,🍝,🍦,🍧,🍨,🍬,🍭,🍢,🍥,🍶,🍷,🍴,🏮
restriction	🔞
restroom	🚹,🚺,🚻,🚾
revival	🐦‍🔥
revive	🐦‍🔥
revolver	🔫
revolving	🚨,💞
rewindershins	🔄
rex	🦖
rhinoceros	🦏
rhythm	🪘
ribbon	🎗️,💝,🎀
rice	🍙,🍚,🌾,🍘,🍛
rich	🧐,💰,🪙,💶
rickshaw	🛺
ride	🚲
riding	🏇,🚵,🚴,🚴‍♂,🚴‍♀,🚵‍♂,🚵‍♀
right	👉,🗯,🫱,🔎,📈
rightward	🫱,🫸
rightwards	🫱,🫸,🤜
ring	🤼,🤼‍♂,🤼‍♀,🛟,💍
ringed	🪐
ringlets	🦱
rip	🪦
ripe	🍎
ripped	💪
rise	🐦‍🔥,💹
river	🚣,🚣‍♂,🚣‍♀
roach	🪳
road	🛣️
road trip	🚗,🛣️
roar	🦁
roasted	🍠
robot	🤖
rock	👊,🥌,🧗,🧑‍🎤,👨‍🎤,👩‍🎤,🧗‍♂,🧗‍♀,🪨,🧷
rocket	🚀,🧑‍🚀,👨‍🚀,👩‍🚀
rockets	🚀
rocks	🛘
rockstar	🧑‍🎤,👨‍🎤,👩‍🎤
rofl	😆,🤣,😂
roflcopter	🚁
roflmao	🤣,😂
roger	🏴‍☠
roll	🥐,🧻
rolled	🗞
roller	🎢,🛼,🧳
rolling	🤣,🙄
rolodex	📇
romance	🥰,😍,💐,💎,💌,💘,💙,💋,💏,💑,💒,💍
romantic	😍,😘,💚
rook	🐦‍⬛
room	🧖,🧖‍♂,🧖‍♀,🚹,🚺
rooster	🐓
root	🫚,🫜
rope	🪢
ropeway	🚡
rose	🌹
rosette	🏵
rotting	🪰
round	📍
roundhouse	🛖
router	🛜
row	🚣,🚣‍♂,🚣‍♀
rowboat	🚣,🚣‍♂,🚣‍♀
rowing	🚣,🚣‍♂,🚣‍♀
royal	🤴,👸,🫅,👑
royalty	🤴,👸,🫅,👑
rub	🧞,🧞‍♂,🧞‍♀
rucksack	🎒
ruckus	🫯
rugby	🏉
rule	📐
ruler	📏,📐
run	🏃,🏃‍♂,🏃‍♀
rung	🪜
running	🏃,🎽,💨,🏃‍♂,🏃‍♀,👟
rush	🏃,🏃‍♂,🏃‍♀
rushed	😰
russia	🪆
sacred	❤‍🔥
sad	😔,😪,😕,😟,🙁,🥺,😥,😢,😭,😖,😞,😓,😩,🥹,😫,😿,💔,💧,🪊
safari	🦁
safety	🫆,🛟,🦺,🧷
sagittarius	🏹
sailboat	⛵
sailing	⛵
sake	🍶
salad	🥬,🥗,🫜
salon	💆,💆‍♂,💆‍♀
salsa	🕺,💃,🍋‍🟩
salt	🧂
salty	🧂
salute	🖖,🫡
saluting	🫡
sandal	🩴,👡
sandals	🩴
sandwich	🥪
santa	🎅,🤶,🧑‍🎄
sapling	🌱
sarcasm	🫠,💁,💁‍♂,💁‍♀
sarcastic	🤌,🫠,💁,💁‍♂,💁‍♀
sari	🥻
sash	🎽
sasquatch	🫈
sassy	💁,💁‍♂,💁‍♀
satchel	🎒
satellite	🛰,📡
satisfied	😊
saturn	🪐
saturnine	🪐
sauce	🫙
saucer	🛸
sauna	🧖,🧖‍♂,🧖‍♀
sauropod	🦕
sausage	🌭
save	🛟
saver	🛟
savor	😋
savoring	😋
saw	🪚
sax	🎷
saxophone	🎷
scale	🧗,🧗‍♂,🧗‍♀
scales	🧑‍⚖,👨‍⚖,👩‍⚖
scared	😦,😧,😨,😰,😱,😓,🫢,🫣,🙈
scarf	🧣
scary	😦,😧,👻,🧛,👹,🧛‍♂,🧛‍♀,🧟,🧟‍♂,🧟‍♀
schmear	🥯
scholar	🎓
school	🚌,📚,🏫,🎒,📼,📔,📇
science	🔍,🦠,🔎,🧪,🔬,🔭,📡
scientist	🧑‍🔬,👨‍🔬,👩‍🔬,🥼
scoop	🪏
scooter	🛵,🛴
score	🎼,💯
scorpio	🦂
scorpion	🦂
scorpius	🦂
scotch	🥃
scowl	🙎,🙎‍♂,🙎‍♀
scream	😱
screamer	😱
screaming	😱
screw	🪛
screwdriver	🪛
scroll	📜
scuba	🤿,🥽
sea	🧜,⛵,🧜‍♂,🧜‍♀,🦭,🐚,🪸,🪼
seafood	🦞,🍢
seal	🦭
search	🔍,🔎
seat	💺,🪑
second	🥈
secret	🤭,😶,🤐,🙈,🙉,🙊,🥷
secure	🔐
security	🪪
see	👀,🧧
seedling	🌱
seeing	👀
selfie	📷,🤳
selling	🪝
semi	🚛
send	📩
sent	📨,📩,📤
serenity	🧘,🧘‍♂,🧘‍♀,🪷
serious	👔
seriously	💁,💁‍♂,💁‍♀
serpent	🐍
serve	🍦
service	🐕‍🦺,🈂
set	📐
settle	🏠,🏡
seven	🕖,🕢
sew	🪡
sewing	🧵,🪡
sexy	😉,💋,🫦
